checked_at,weekday,horizon,horizon_weekday,n_screenings
2026-07-29T10:06:45,Wed,2026-08-12,Wed,92
2026-07-29T10:09:31,Wed,2026-08-12,Wed,92
2026-07-29T10:15:52,Wed,2026-08-12,Wed,92
2026-07-29T12:47:14,Wed,2026-08-12,Wed,91
2026-07-29T14:52:32,Wed,2026-08-12,Wed,91
2026-07-29T17:08:13,Wed,2026-08-12,Wed,89
2026-07-29T18:39:34,Wed,2026-08-12,Wed,89
2026-07-29T19:57:17,Wed,2026-08-12,Wed,88
2026-07-29T21:37:38,Wed,2026-08-12,Wed,87
2026-07-29T22:36:15,Wed,2026-08-12,Wed,87
2026-07-29T23:36:35,Wed,2026-08-12,Wed,87
2026-07-30T00:38:44,Thu,2026-08-12,Wed,86
2026-07-30T01:44:04,Thu,2026-08-12,Wed,86
2026-07-30T03:05:39,Thu,2026-08-12,Wed,86
2026-07-30T04:39:45,Thu,2026-08-12,Wed,86
2026-07-30T07:45:07,Thu,2026-08-12,Wed,86
2026-07-30T10:32:48,Thu,2026-08-12,Wed,85
